lulc,site,season,phase,year,coverage_based.qD,mean_temp,mean_rh
forest,F8,post-winter,4,2,58,13.50,89.93
bamboo,B1,post-winter,4,2,15.38,11.18,80.86
bamboo,B2,post-winter,4,2,23.14,10.03,92.40
bamboo,B3,post-winter,4,2,28.21,10.94,84.51
bamboo,B4,post-winter,4,2,31.74,10.47,93.60
bamboo,B5,post-winter,4,2,34.39,10.91,90.36
bamboo,B6,post-winter,4,2,36.54,12.02,75.72
bamboo,B7,post-winter,4,2,37.28,10.07,92.08
bamboo,B8,post-winter,4,2,40,9.75,91.00
jhum,J1,post-winter,4,2,6.13,11.25,86.00
jhum,J2,post-winter,4,2,10.00,14.05,73.29
jhum,J3,post-winter,4,2,13.18,14.85,76.46
jhum,J4,post-winter,4,2,15.93,15.03,70.19
jhum,J5,post-winter,4,2,18.36,13.65,72.99
jhum,J6,post-winter,4,2,20.50,13.01,86.70
jhum,J7,post-winter,4,2,21.29,12.05,85.30
jhum,J8,post-winter,4,2,24,15.79,73.66
abandoned,A1,post-winter,4,2,6.75,12.84,81.09
abandoned,A2,post-winter,4,2,11.21,12.30,81.61
abandoned,A3,post-winter,4,2,14.32,15.22,75.64
abandoned,A4,post-winter,4,2,16.61,14.85,77.63
abandoned,A5,post-winter,4,2,18.39,13.92,78.10
abandoned,A6,post-winter,4,2,19.82,14.94,75.89
abandoned,A7,post-winter,4,2,20.32,14.86,74.35
abandoned,A8,post-winter,4,2,22,14.66,73.16
